time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-04 00:00:00+00:00,,,35.0,5.0
2022-08-05 00:00:00+00:00,2.0,2.0,5.0,4.0
2022-08-06 00:00:00+00:00,2.0,2.0,3.0,1.0
2022-08-07 00:00:00+00:00,1.0,1.0,8.0,1.0
2022-08-08 00:00:00+00:00,1.0,1.0,14.0,3.0
2022-08-09 00:00:00+00:00,1.0,1.0,15.0,3.0
2022-08-10 00:00:00+00:00,,,1.0,1.0
2022-08-11 00:00:00+00:00,1.0,1.0,2.0,1.0
2022-08-12 00:00:00+00:00,2.0,2.0,1.0,1.0
2022-08-13 00:00:00+00:00,1.0,1.0,,
2022-08-15 00:00:00+00:00,2.0,2.0,,
2022-08-17 00:00:00+00:00,,,9.0,3.0
