time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-27 00:00:00+00:00,1,1,0,0
2021-11-30 00:00:00+00:00,0,0,3,3
2021-12-01 00:00:00+00:00,0,0,3,2
2021-12-02 00:00:00+00:00,0,0,1,1
2021-12-03 00:00:00+00:00,1,1,8,1
2021-12-06 00:00:00+00:00,0,0,3,3
2021-12-07 00:00:00+00:00,2,2,6,3
2021-12-08 00:00:00+00:00,1,1,6,3
2021-12-09 00:00:00+00:00,1,1,17,3
2021-12-10 00:00:00+00:00,0,0,10,2
2021-12-11 00:00:00+00:00,0,0,1,1
2021-12-12 00:00:00+00:00,1,1,0,0
2021-12-13 00:00:00+00:00,0,0,2,1
2021-12-16 00:00:00+00:00,0,0,3,1
2021-12-19 00:00:00+00:00,1,1,1,1
2021-12-20 00:00:00+00:00,0,0,1,1
2021-12-21 00:00:00+00:00,0,0,1,1
2021-12-22 00:00:00+00:00,0,0,13,6
2021-12-23 00:00:00+00:00,0,0,1,1
2021-12-25 00:00:00+00:00,0,0,1,1
